ID,LKS92-E,LKS92-N
662,730534.1061000023,253865.2800999992
663,730534.1061000023,248865.2800999992
664,730534.1061000023,246865.2800999992
665,730534.1061000023,243865.2800999992
666,730534.1061000023,235865.2800999992
667,730534.1061000023,234865.2800999992
668,730534.1061000023,230865.2800999992
669,730534.1061000023,229865.2800999992
670,730534.1061000023,228865.2800999992
671,730534.1061000023,225865.2800999992
672,730534.1061000023,224865.2800999992
673,730534.1061000023,222865.2800999992
674,730534.1061000023,220865.2800999992
675,730534.1061000023,215865.2800999992
676,729534.1061000023,358865.2800999992
677,729534.1061000023,357865.2800999992
678,729534.1061000023,349865.2800999992
679,729534.1061000023,345865.2800999992
680,729534.1061000023,344865.2800999992
681,729534.1061000023,342865.2800999992
682,729534.1061000023,341865.2800999992
683,729534.1061000023,340865.2800999992
684,729534.1061000023,339865.2800999992
685,729534.1061000023,305865.2800999992
686,729534.1061000023,302865.2800999992
687,729534.1061000023,301865.2800999992
688,729534.1061000023,296865.2800999992
689,729534.1061000023,288865.2800999992
690,729534.1061000023,287865.2800999992
691,729534.1061000023,276865.2800999992
692,729534.1061000023,262865.2800999992
693,729534.1061000023,259865.2800999992
694,729534.1061000023,258865.2800999992
695,729534.1061000023,255865.2800999992
696,729534.1061000023,254865.2800999992
697,729534.1061000023,246865.2800999992
698,729534.1061000023,237865.2800999992
699,729534.1061000023,236865.2800999992
700,729534.1061000023,235865.2800999992
701,729534.1061000023,234865.2800999992
702,729534.1061000023,233865.2800999992
703,729534.1061000023,232865.2800999992
704,729534.1061000023,231865.2800999992
705,729534.1061000023,230865.2800999992
706,729534.1061000023,227865.2800999992
707,729534.1061000023,226865.2800999992
708,729534.1061000023,225865.2800999992
709,729534.1061000023,223865.2800999992
710,729534.1061000023,221865.2800999992
711,729534.1061000023,220865.2800999992
712,729534.1061000023,218865.2800999992
713,729534.1061000023,217865.2800999992
714,729534.1061000023,215865.2800999992
715,729534.1061000023,213865.2800999992
716,729534.1061000023,207865.2800999992
717,729534.1061000023,205865.2800999992
718,728534.1061000023,357865.2800999992
719,728534.1061000023,356865.2800999992
720,728534.1061000023,354865.2800999992
721,728534.1061000023,353865.2800999992
722,728534.1061000023,352865.2800999992
723,728534.1061000023,351865.2800999992
724,728534.1061000023,348865.2800999992
725,728534.1061000023,347865.2800999992
726,728534.1061000023,345865.2800999992
727,728534.1061000023,344865.2800999992
728,728534.1061000023,343865.2800999992
729,728534.1061000023,342865.2800999992
730,728534.1061000023,341865.2800999992
731,728534.1061000023,340865.2800999992
732,728534.1061000023,303865.2800999992
733,728534.1061000023,295865.2800999992
734,728534.1061000023,293865.2800999992
735,728534.1061000023,289865.2800999992
736,728534.1061000023,288865.2800999992
737,728534.1061000023,260865.2800999992
738,728534.1061000023,251865.2800999992
739,728534.1061000023,249865.2800999992
740,728534.1061000023,245865.2800999992
741,728534.1061000023,244865.2800999992
742,728534.1061000023,243865.2800999992
743,728534.1061000023,242865.2800999992
744,728534.1061000023,241865.2800999992
745,728534.1061000023,238865.2800999992
746,728534.1061000023,237865.2800999992
747,728534.1061000023,236865.2800999992
748,728534.1061000023,235865.2800999992
749,728534.1061000023,232865.2800999992
750,728534.1061000023,230865.2800999992
751,728534.1061000023,229865.2800999992
752,728534.1061000023,227865.2800999992
753,728534.1061000023,226865.2800999992
754,728534.1061000023,225865.2800999992
755,728534.1061000023,221865.2800999992
756,728534.1061000023,220865.2800999992
757,728534.1061000023,219865.2800999992
758,728534.1061000023,218865.2800999992
759,728534.1061000023,216865.2800999992
760,728534.1061000023,214865.2800999992
761,728534.1061000023,213865.2800999992
762,728534.1061000023,211865.2800999992
763,727534.1061000023,356865.2800999992
764,727534.1061000023,355865.2800999992
765,727534.1061000023,354865.2800999992
766,727534.1061000023,353865.2800999992
767,727534.1061000023,352865.2800999992
768,727534.1061000023,342865.2800999992
769,727534.1061000023,341865.2800999992
770,727534.1061000023,340865.2800999992
771,727534.1061000023,322865.2800999992
772,727534.1061000023,302865.2800999992
